Week Ending,Show,Theatre,Weekly Gross,Seats Sold,Performances
1985-11-03,Tango Argentino,Mark Hellinger Theatre,369090.0,10635,8
1985-11-03,The Iceman Cometh,Lunt-Fontanne Theatre,139265.0,4863,6
1985-11-03,The Marriage of Figaro,Circle in the Square Theatre,62255.0,3554,8
1985-11-03,The Nerd,Helen Hayes Theatre,35500.0,900,8
1985-11-03,The Odd Couple,Broadhurst Theatre,169216.0,6498,8
1985-11-03,The Search for Signs of Intelligent Life in the Universe,Plymouth Theatre,215935.0,8599,8
1985-11-10,42nd Street,St. James Theatre,325960.0,10684,8
1985-11-10,A Chorus Line,Sam S. Shubert Theatre,218474.0,7573,8
1985-11-10,As Is,Lyceum Theatre,61834.0,3521,8
1985-11-10,Big River,Eugene O'Neill Theatre,294612.0,8141,8
1985-11-10,Biloxi Blues,Neil Simon Theatre,218962.0,8040,8
1985-11-10,Brighton Beach Memoirs,46th Street Theatre,134022.0,6543,8
1985-11-10,Cats,Winter Garden Theatre,464444.0,12015,8
1985-11-10,Doubles,Ritz Theatre,82663.0,4058,8
1985-11-10,La Cage aux Folles,Palace Theatre,372987.0,10581,8
1985-11-10,Oh! Calcutta!,Edison Theatre,46881.0,3121,8
1985-11-10,Singin' in the Rain,Gershwin Theatre,339368.0,10467,8
1985-11-10,Song and Dance,Royale Theatre,292133.0,8133,8
1985-11-10,Tango Argentino,Mark Hellinger Theatre,380667.0,11115,8
1985-11-10,The Boys of Winter,Biltmore Theatre,54051.0,2738,8
1985-11-10,The Iceman Cometh,Lunt-Fontanne Theatre,140103.0,4831,6
1985-11-10,The Marriage of Figaro,Circle in the Square Theatre,72631.0,4154,8
1985-11-10,The Nerd,Helen Hayes Theatre,26500.0,600,7
1985-11-10,The Odd Couple,Broadhurst Theatre,191651.0,7284,8
1985-11-10,The Search for Signs of Intelligent Life in the Universe,Plymouth Theatre,216475.0,8256,8
1985-11-17,42nd Street,St. James Theatre,289927.0,9059,8
1985-11-17,A Chorus Line,Sam S. Shubert Theatre,209932.0,7372,8
1985-11-17,As Is,Lyceum Theatre,53769.0,3196,8
1985-11-17,Big River,Eugene O'Neill Theatre,288633.0,7879,8
